paragraphs,question,answer
"[{'idx': 0, 'title': 'Roma', 'paragraph_text': 'Sau khi được Romulus thành lập theo truyền thuyết, Roma (La Mã) nằm dưới quyền cai trị của một hệ thống quân chủ trong 244 năm, ban đầu là với các quân chủ gốc Latinh và Sabini và sau đó là các quốc vương người Etrusca. Theo truyền thuyết, vương vị truyền qua bảy người: Romulus, Numa Pompilius, Tullus Hostilius, Ancus Marcius, Tarquinius Priscus, Servius Tullius và Tarquinius Superbus. Năm 509 TCN, người Roma trục xuất vị quốc vương cuối cùng khỏi thành phố và lập ra một nền cộng hoà đầu xỏ. Roma sau đó bắt đầu một giai đoạn có đặc điểm là đấu tranh nội bộ giữa quý tộc và bình dân, và chiến tranh liên miên chống lại các cộng đồng tại miền trung Ý: Etrusca, Latinh, Volsci, Aequi, Marsi. Sau khi trở thành chủ nhân của khu vực Latium, Roma dẫn đầu một số cuộc chiến tranh với kết quả là chinh phục bán đảo Ý từ khu vực miền trung đến Magna Graecia.', 'is_supporting': False}]",Sự kiện gì xảy ra vào trước năm 509 TCN?,'người Roma trục xuất vị quốc vương cuối cùng khỏi thành phố và lập ra một nền cộng hoà đầu xỏ'
"[{'idx': 0, 'title': 'Lịch sử thế giới', 'paragraph_text': 'Địa lý cũng góp phần vào những khác biệt địa chính trị quan trọng. Trong đa phần lịch sử của mình Trung Quốc, Ấn Độ và Trung Đông đều thống nhất dưới một quyền lực cai trị duy nhất và nó mở rộng cho đến khi chạm tới những vùng núi non và sa mạc. Vào năm 1600, Đế quốc Ottoman kiểm soát hầu như toàn bộ Trung Đông, nhà Minh cai quản Trung Quốc, và Đế quốc Mughal từng cai trị toàn bộ Ấn Độ. Trái lại, châu Âu hầu như luôn bị chia rẽ trong số các nước chiến quốc. Các đế quốc ""toàn Âu"", ngoại trừ Đế quốc La Mã, sớm trước đó, đều có khuynh hướng suy sụp sớm ngay sau khi họ nổi lên. Nghịch lý, sự cạnh tranh dữ dội giữa các nước đối nghịch thường được miêu tả như là một nguồn gốc của sự thành công của châu Âu. Ở những vùng khác, sự ổn định thường được ưu tiên hơn so với sự phát triển. Ví dụ, sự nổi lên của Trung Quốc với tư cách cường quốc trên biển đã bị Hai jin nhà Minh ngăn cản. Ở châu Âu sự cấm đoán như vậy là không thể xảy ra vì có sự bất hoà, nếu bất kỳ một nước nào áp đặt lệnh cấm đó, nó sẽ nhanh chóng bị bỏ lại sau so với những kẻ cạnh tranh với nó.', 'is_supporting': False}]","Đặc điểm chung cho sự thống trị và bành trướng lãnh thổ của La Mã, Trung Quốc và Trung Đông là gì?",'thống nhất dưới một quyền lực cai trị duy nhất và nó mở rộng cho đến khi chạm tới những vùng núi non và sa mạc'
"[{'idx': 0, 'title': 'Trung Quốc Quốc dân Đảng', 'paragraph_text': 'Trung Quốc Quốc dân Đảng là đảng cầm quyền tại Trung Quốc từ lúc Chính phủ Quốc dân hoàn thành Bắc phạt thống nhất Trung Quốc, trải qua thi hành hiến pháp vào năm 1947, đến năm sau cải tổ thành Chính phủ Trung Hoa Dân Quốc, đến năm 1949 do chiến bại trong Nội chiến Quốc-Cộng phải triệt thoái đến Đài Loan. Trung Quốc Quốc dân Đảng liên tục cầm quyền tại Đài Loan đến hết nhiệm kỳ của Tổng thống Lý Đăng Huy. Năm 2000, do thất bại trong bầu cử tổng thống nên đảng này trở thành đảng đối lập. Trong kỳ bầu cử tổng thống năm 2008, Mã Anh Cửu của Trung Quốc Quốc dân Đảng giành thắng lợi, Trung Quốc Quốc dân Đảng quay lại cầm quyền. Trong bầu cử tổng thống năm 2016, Trung Quốc Quốc dân Đảng thất bại trong bầu cử tổng thống nên một lần nữa trở thành đảng đối lập. Trung Quốc Quốc dân Đảng hiện đứng đầu trong Liên minh phiếm Lam, là một trong hai liên minh chính trị lớn tại Đài Loan cùng với Liên minh phiếm Lục do Đảng Dân chủ Tiến bộ đứng đầu.', 'is_supporting': False}]",Thắng lợi trong cuộc bầu cử lần thứ 2 của Quốc dân Đảng xảy ra vào năm nào?,'năm 2016'
"[{'idx': 0, 'title': 'Roma', 'paragraph_text': 'Sau khi được Romulus thành lập theo truyền thuyết, Roma (La Mã) nằm dưới quyền cai trị của một hệ thống quân chủ trong 244 năm, ban đầu là với các quân chủ gốc Latinh và Sabini và sau đó là các quốc vương người Etrusca. Theo truyền thuyết, vương vị truyền qua bảy người: Romulus, Numa Pompilius, Tullus Hostilius, Ancus Marcius, Tarquinius Priscus, Servius Tullius và Tarquinius Superbus. Năm 509 TCN, người Roma trục xuất vị quốc vương cuối cùng khỏi thành phố và lập ra một nền cộng hoà đầu xỏ. Roma sau đó bắt đầu một giai đoạn có đặc điểm là đấu tranh nội bộ giữa quý tộc và bình dân, và chiến tranh liên miên chống lại các cộng đồng tại miền trung Ý: Etrusca, Latinh, Volsci, Aequi, Marsi. Sau khi trở thành chủ nhân của khu vực Latium, Roma dẫn đầu một số cuộc chiến tranh với kết quả là chinh phục bán đảo Ý từ khu vực miền trung đến Magna Graecia.', 'is_supporting': False}]","Kể từ khi được thành lập bởi Romulus (theo truyền thuyết), Roma được đấu tranh bởi những ai?","'Roma (La Mã) nằm dưới quyền cai trị của một hệ thống quân chủ trong 244 năm, ban đầu là với các quân chủ gốc Latinh và Sabini và sau đó là các quốc vương người Etrusca'"
"[{'idx': 0, 'title': 'Chiến tranh Đông Dương', 'paragraph_text': 'Ngày 6 tháng 3 năm 1946, Hiệp định sơ bộ Pháp-Việt được ký kết giữa Jean Sainteny, đại diện chính phủ Cộng hòa Pháp, và Hồ Chí Minh cùng Vũ Hồng Khanh (giữ chức Phó Chủ tịch Ủy ban Kháng chiến), đại diện chính phủ Việt Nam Dân chủ Cộng hòa. Nguyễn Hải Thần đã rời Hà Nội nên chỉ có Hồ Chí Minh ký kết hiệp định này. Tuy tham dự lễ ký kết Hiệp định nhưng Nguyễn Tường Tam từ chối ký Hiệp định này còn Vũ Hồng Khanh miễn cưỡng ký Hiệp định. Nội dung của Hiệp định bao gồm các điểm chính sau đây:', 'is_supporting': False}]",Người nào phản đối việc ký hiệp định Paris?,'Nguyễn Tường Tam'
"[{'idx': 0, 'title': 'Cách mạng Tháng Mười', 'paragraph_text': 'Tác giả Thierry Wolton cho rằng tất cả nhân chứng thời đó đều nói về sự kiện tấn công cung điện mùa đông như một cuộc đảo chính chớp nhoáng. Báo L’Humanité của cộng sản Pháp ngày 09/10/1917 đăng bài ""Cuộc đảo chính tại Nga"". Khi đó lực lượng quân sự của người Bolshevik tiến vào Cung điện Mùa Đông, lúc đó đã trở thành quân y viện, họ không gặp sự kháng cự nào đáng kể từ đội nữ binh và các sinh viên sĩ quan. Ở bên ngoài, xã hội vẫn hoạt động bình thường, hầu như đa số người dân thủ đô Petrograd không nhận ra. Theo nhà sử học Mỹ Richard Pipes, thiệt hại trong cuộc tấn công vào Cung điện Mùa đông chỉ có năm người chết và một số người bị thương, hầu hết là do đạn lạc. Sau sự kiện này, tất cả báo chí không phải của người Bolshevik đều bị cấm còn hội đồng Xô Viết bị ngưng hoạt động mười ngày sau đó. Chính quyền do người Bolshevik lãnh đạo cai trị bằng sắc lệnh. Một tháng sau, Tchéka (Ủy ban đặc biệt toàn quốc về đấu tranh chống phản cách mạng, tung tin đồn nhảm và phá hoại) ra đời. Đến tháng 1 năm 1918, Quốc hội lập hiến bị giải tán, đến tháng 6/1918 những trại giam đầu tiên được thành lập trong thời kỳ Nội chiến Nga chống Bạch Vệ. Những diễn biến này cũng rất giống với diễn biến của Cách mạng Pháp 1789: mở màn bởi cuộc đảo chính chiếm ngục Bastille, sau đó là giải tán quốc hội lập hiến và cuộc chiến tranh chống lại sự tấn công các nước phong kiến châu Âu. Theo Thierry Wolton, từ ""Cách Mạng Tháng Mười"" mang lại một vầng hào quang cho sự kiện, khiến nó được nâng ngang tầm với những tiến bộ như Cách mạng Pháp 1789.', 'is_supporting': False}]","Sau sự kiện đó, những nhà chính trị của phe nào vẫn còn hoạt động được?",'Bolshevik'
"[{'idx': 0, 'title': 'Chiến tranh Đông Dương', 'paragraph_text': 'Trước năm 1945, Đảng Cộng sản Việt Nam và các đảng phái Quốc gia khác tuy có ý thức hệ khác nhau nhưng vẫn có chung nền tảng giáo dục, thường xuyên có sự hợp tác và đôi khi có cùng quan hệ huyết thống hoặc hôn nhân. Trong giai đoạn 1924 - 1927, ở miền Nam Trung Quốc, các nhóm người Việt chống thực dân Pháp đa dạng tương tác với nhau, với cả người Trung Quốc, Triều Tiên và các dân tộc khác. Từ năm 1941 đến 1944 ở miền nam Trung Quốc, Đảng Cộng sản Đông Dương, Việt Nam Quốc Dân Đảng (Việt Quốc) và Việt Nam Cách mệnh Đồng minh Hội (Việt Cách) cùng tham gia vào mặt trận chống Nhật, đôi khi tố giác nhau với chính quyền Trung Quốc, nhưng không bắt cóc hoặc ám sát lẫn nhau. Chính sự cạnh tranh để kết nạp thành viên, thu nhận viện trợ cũng như sự bảo trợ của người Trung Quốc, hơn là sự khác biệt về ý thức hệ, mới là nguyên nhân khiến căng thẳng giữa các tổ chức lưu vong gia tăng. Trong nước, Đảng Cộng sản Đông Dương cũng từng hợp tác với những người Trotskyist tại Nam Kỳ trong giai đoạn 1933-1937. Các bên sau đó chỉ trích nhau chẳng hạn thành viên của Quốc tế thứ ba (Đảng Cộng sản Đông Dương) và Quốc tế thứ tư (những người Trotskyist) cáo buộc lẫn nhau là phục vụ lợi ích đế quốc. Ban đầu cuộc tranh đấu chỉ trong phạm vi báo chí, truyền thông. Đến năm 1945 thì các phe phái đã dùng vũ lực để tấn công lẫn nhau. Trong thời điểm đặc biệt khó khăn cần sự đoàn kết giữa các lực lượng chính trị tại Việt Nam thì Việt Minh và các đảng phái, tôn giáo khác như Việt Nam Quốc dân Đảng, Đại Việt Quốc dân đảng, Việt Nam Cách mệnh Đồng minh Hội, những người Trotskyist, Bình Xuyên, Hòa Hảo, Cao Đài... bị chia rẽ nghiêm trọng, xoay quanh các tranh cãi về đường lối ứng phó trước quân đội Trung Hoa và quân Pháp.', 'is_supporting': False}]",Tình hình về các đảng phái chính trị của Việt Nam sau năm 1945 như thế nào?,"'Đảng Cộng sản Việt Nam và các đảng phái Quốc gia khác tuy có ý thức hệ khác nhau nhưng vẫn có chung nền tảng giáo dục, thường xuyên có sự hợp tác và đôi khi có cùng quan hệ huyết thống hoặc hôn nhân'"
"[{'idx': 0, 'title': 'Kinh tế Hàn Quốc', 'paragraph_text': 'Trong vòng chưa đầy bốn thập kỷ, Seoul đã trở thành một thành phố toàn cầu, một trung tâm kinh doanh và thương mại ở Đông Bắc Á và một trung tâm kinh tế phát triển cao, tạo nền móng cho các cơ sở hạ tầng công nghệ và thông tin liên lạc tiên tiến. Hàn Quốc xem xét tăng trưởng nhanh chóng này là biểu tượng của niềm tự hào quốc gia và tự lập. Bên cạnh phong trào Saemaeul, chính phủ Hàn Quốc thực hiện một kế hoạch phát triển kinh tế hiệu quả được gọi là Kế hoạch năm năm. Có hơn 5 kế hoạch được tạo ra, và chúng được thiết kế để vực dậy nền kinh tế. Mỗi kế hoạch trong số đó đã góp phần vào công nghiệp hóa và mở rộng các thị trường Hàn Quốc.', 'is_supporting': False}]","Ngày nay, Saemaeul đã đạt được thành tựu gì?","'trở thành một thành phố toàn cầu, một trung tâm kinh doanh và thương mại ở Đông Bắc Á và một trung tâm kinh tế phát triển cao, tạo nền móng cho các cơ sở hạ tầng công nghệ và thông tin liên lạc tiên tiến'"
"[{'idx': 0, 'title': 'Mặt trận Dân tộc Giải phóng miền Nam Việt Nam', 'paragraph_text': 'Về phía Mặt trận, họ chỉ công khai các chức danh do hiệp thương bầu cử ra (của Mặt trận hay chính quyền các cấp), hay chức vụ của các tổ chức, Đảng (cả đảng Nhân dân cách mạng) trong Mặt trận, cũng như quân giải phóng (Bộ tư lệnh các lực lượng vũ trang,...), nhưng trước khi Hiệp định Paris ký kết không công khai các chức danh hay cán bộ thuộc về phía Đảng Lao động chỉ định (như ủy viên Trung ương hay Bộ Chính trị hay trong Trung ương Cục, và các cấp lãnh đạo đảng ở địa phương, cũng như nhiều chỉ huy quân đội,...) để thể hiện rõ lập trường Miền Bắc chỉ chi viện giúp đỡ miền Nam và phối hợp quân sự, kể cả cử cán bộ chỉ huy Quân giải phóng, lực lượng cách mạng, chứ không chi phối chính sách của phía Mặt trận do sự hiệp thương của các lực lượng tham gia quyết định, mặt khác thể hiện nguyên tắc bí mật trong thời chiến.', 'is_supporting': False}]",Mặt trận lựa chọn thời cơ nào để bắt đầu triển khai các chức danh của các tổ chức và thành viên trong bí mật?,'trước khi Hiệp định Paris ký kết'
"[{'idx': 0, 'title': 'Đồng Tháp', 'paragraph_text': 'Tháng 8 năm 1974, Trung ương Cục miền Nam quyết định giải thể các tỉnh Kiến Phong và An Giang để tái lập các tỉnh Long Châu Tiền và tỉnh Sa Đéc. Tỉnh Sa Đéc gồm các huyện Chợ Mới, Cao Lãnh, Kiến Văn, Mỹ An và thị xã Cao Lãnh của tỉnh Kiến Phong cũ; đồng thời cũng nhận lại các huyện Lấp Vò, Châu Thành, thị xã Sa Đéc của tỉnh Vĩnh Long giao lại; tỉnh lỵ tỉnh Sa Đéc khi đó đặt tại thị xã Sa Đéc. Tỉnh Long Châu Tiền gồm các huyện: Hồng Ngự, Thanh Bình, Tam Nông của tỉnh Kiến Phong cũ và các huyện An Phú, Tân Châu, Phú Tân A và Phú Tân B của tỉnh An Giang cũ; tỉnh lỵ đặt tại thị trấn Tân Châu, huyện Tân Châu (ngày nay là thị xã Tân Châu).', 'is_supporting': False}]","Huyện Chợ Mới, Cao Lãnh, Kiến Văn, An Mỹ và thị xã Cao Lãnh thuộc tỉnh nào?",'Tỉnh Sa Đéc'
"[{'idx': 0, 'title': 'Đảo Ireland', 'paragraph_text': 'Bắc Ireland có cơ quan hành pháp và lập pháp địa phương, thi hành quyền lực được Anh phân quyền. Đứng đầu cơ quan hành pháp là bộ trưởng thứ nhất và thứ trưởng thứ nhất, còn các bộ trưởng được phân bổ theo tỷ lệ đại biểu của mỗi đảng trong nghị hội. Thủ đô Bắc Ireland là Belfast. Quyền lực chính trị tối hậu thuộc về Chính phủ Anh, Chính phủ Anh từng có các giai đoạn cai trị trực tiếp Bắc Ireland. Bắc Ireland được phân 18 ghế trong số 650 ghế của Hạ nghị viện Anh. Quốc vụ khanh về Bắc Ireland là một chức vụ cấp nội các trong chính phủ của Anh. Bắc Ireland tạo thành một trong ba khu vực phạm vi quyền hạn tư pháp riêng biệt của Anh, song Toà án Tối cao Anh là toà án tối cao.', 'is_supporting': False}]",Có bao nhiêu ghế đại biểu của Anh trong Hạ nghị viện Bắc Ireland?,'18 ghế'
"[{'idx': 0, 'title': 'John von Neumann', 'paragraph_text': 'Cách tiếp cận thứ hai của vấn đề dựa vào khái niệm lớp (class), và định nghĩa một tập hợp như là một lớp thuộc về các lớp khác, trong khi một ""lớp nhỏ hơn"" được định nghĩa như là một lớp không thuộc về lớp nào khác. Trong khi, trong cách tiếp cận của Zermelo/Frankel, những tiên đề cản trở việc xây dựng một tập hợp của các tập hợp không thuộc về chính nó, trong cách tiếp cận của von Neumann, lớp của các tập hợp không thuộc về chính nó có thể được xây dựng, nhưng nó là một ""lớp nhỏ hơn"" chứ không phải là một tập hợp.', 'is_supporting': False}]","Định nghĩa của một ""lớp"" là gì?",'một lớp không thuộc về lớp nào khác'
